`,Season,Year,Camera,Latitude,Longitude,Date_Deployed,Date_Stopped,Habitat,Folder,Photo_num,Date,Temp_C,Time,Species,Amount,Notes
COPR,fall,2018,7.4,"34 24' 46.4"" N","119 52' 53.4"" W",9/17/2018,11/2/2018,reserve-urban,100EK113,9250105,9/25/2018,10,22:53:45,Didelphis virginiana,1,
COPR,fall,2018,7.4,"34 24' 46.4"" N","119 52' 53.4"" W",9/17/2018,11/2/2018,reserve-urban,100EK113,9260107,9/26/2018,11,20:36:35,Didelphis virginiana,1,
COPR,fall,2018,7.4,"34 24' 46.4"" N","119 52' 53.4"" W",9/17/2018,11/2/2018,reserve-urban,100EK113,9280109,9/28/2018,12,22:07:49,Didelphis virginiana,1,
COPR,fall,2018,7.4,"34 24' 46.4"" N","119 52' 53.4"" W",9/17/2018,11/2/2018,reserve-urban,100EK113,9300119,9/30/2018,10,22:34:07,Didelphis virginiana,1,
COPR,fall,2018,7.4,"34 24' 46.4"" N","119 52' 53.4"" W",9/17/2018,11/2/2018,reserve-urban,100EK113,10070150,10/7/2018,13,20:25:03,Didelphis virginiana,1,
COPR,fall,2018,7.4,"34 24' 46.4"" N","119 52' 53.4"" W",9/17/2018,11/2/2018,reserve-urban,100EK113,10110183,10/11/2018,12,19:54:13,Didelphis virginiana,1,
COPR,fall,2018,7.4,"34 24' 46.4"" N","119 52' 53.4"" W",9/17/2018,11/2/2018,reserve-urban,100EK113,10120184,10/12/2018,8,1:35:50,Didelphis virginiana,1,
COPR,fall,2018,7.4,"34 24' 46.4"" N","119 52' 53.4"" W",9/17/2018,11/2/2018,reserve-urban,100EK113,10190210,10/19/2018,10,0:28:52,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8020055-8020057,8/2/2018,13,1:56:06,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8030097-8030099,8/3/2018,12,4:23:08,Didelphis virginiana,1,probably an opossum
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8050181-8050183,8/5/2018,12,2:22:28,Didelphis virginiana,1,
